[rosmaster.main][INFO] 2018-10-05 16:53:27,139: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-10-05 16:53:27,140: Starting ROS Master Node
[xmlrpc][INFO] 2018-10-05 16:53:27,144: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-10-05 16:53:27,147: Started XML-RPC server [http://duckbot12:11311/]
[rosmaster.master][INFO] 2018-10-05 16:53:27,148: Master initialized: port[11311], uri[http://duckbot12:11311/]
[xmlrpc][INFO] 2018-10-05 16:53:27,149: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-10-05 16:53:27,268: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:27,279: +PARAM [/roslaunch/uris/host_duckbot12__43732] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:28,517: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:28,519: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:28,938: +SERVICE [/rosout/get_loggers] /rosout http://duckbot12:35340/
[rosmaster.master][INFO] 2018-10-05 16:53:28,954: +SERVICE [/rosout/set_logger_level] /rosout http://duckbot12:35340/
[rosmaster.master][INFO] 2018-10-05 16:53:28,973: +PUB [/rosout_agg] /rosout http://duckbot12:35340/
[rosmaster.master][INFO] 2018-10-05 16:53:29,026: +SUB [/rosout] /rosout http://duckbot12:35340/
[rosmaster.master][INFO] 2018-10-05 16:53:50,920: +PARAM [/roslaunch/uris/host_duckbot12__42840] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,659: +PARAM [/duckbot12/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,661: +PARAM [/duckbot12/apriltag_detector_node/scale_z] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,662: +PARAM [/duckbot12/raw_cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,663: +PARAM [/duckbot12/apriltag_detector_node/scale_x] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,664: +PARAM [/duckbot12/apriltag_detector_node/scale_y] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,665: +PARAM [/duckbot12/apriltag_detector_node/camera_theta] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,666: +PARAM [/duckbot12/apriltags_postprocessing_node/camera_theta] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,667: +PARAM [/duckbot12/raw_cam_info_reader_node/cali_file_name] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,668: +PARAM [/duckbot12/raw_cam_info_reader_node/config] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,668: +PARAM [/duckbot12/apriltag_detector_node/camera_z] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,669: +PARAM [/duckbot12/apriltag_detector_node/camera_x] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,670: +PARAM [/duckbot12/apriltag_detector_node/camera_y] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,671: +PARAM [/duckbot12/apriltags_postprocessing_node/scale_y] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,672: +PARAM [/duckbot12/cam_info_reader_node/config] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,673: +PARAM [/duckbot12/cam_info_reader_node/cali_file_name] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,674: +PARAM [/duckbot12/camera_node/res_h] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,675: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,676: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,677: +PARAM [/duckbot12/apriltag_detector_node/tag_descriptions] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,678: +PARAM [/duckbot12/decoder_node/publish_freq] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,679: +PARAM [/duckbot12/cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,680: +PARAM [/duckbot12/camera_node/res_w] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,681: +PARAM [/duckbot12/apriltags_postprocessing_node/camera_z] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,682: +PARAM [/duckbot12/apriltags_postprocessing_node/camera_y] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,683: +PARAM [/duckbot12/apriltags_postprocessing_node/camera_x] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,684: +PARAM [/duckbot12/camera_node/framerate_low] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,685: +PARAM [/duckbot12/apriltags_postprocessing_node/scale_x] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,686: +PARAM [/duckbot12/apriltags_postprocessing_node/scale_z] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,687: +PARAM [/duckbot12/camera_node/framerate_high] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:51,688: +PARAM [/duckbot12/raw_cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 16:53:54,361: +PUB [/rosout] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:54,367: publisherUpdate[/rosout] -> http://duckbot12:35340/ ['http://duckbot12:34511/']
[rosmaster.master][INFO] 2018-10-05 16:53:54,370: +SERVICE [/duckbot12/image_proc_node/get_loggers] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:54,389: publisherUpdate[/rosout] -> http://duckbot12:35340/ ['http://duckbot12:34511/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2018-10-05 16:53:54,408: +PUB [/rosout] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:54,417: +SERVICE [/duckbot12/image_proc_node/set_logger_level] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:54,423: +SERVICE [/duckbot12/apriltag_detector_node/get_loggers] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:54,438: +SERVICE [/duckbot12/apriltag_detector_node/set_logger_level] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:54,482: publisherUpdate[/rosout] -> http://duckbot12:35340/ ['http://duckbot12:34511/', 'http://duckbot12:39607/']
[rosmaster.master][INFO] 2018-10-05 16:53:54,502: publisherUpdate[/rosout] -> http://duckbot12:35340/ ['http://duckbot12:34511/', 'http://duckbot12:39607/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2018-10-05 16:53:54,950: +PUB [/tf] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:55,097: +SERVICE [/duckbot12/image_proc_node_debayer/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,134: +PUB [/duckbot12/image_proc_node_debayer/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,153: +PUB [/duckbot12/image_proc_node_debayer/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,179: +PARAM [/duckbot12/image_proc_node_debayer/debayer] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,197: +PARAM [/duckbot12/image_proc_node_debayer/debayer] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,248: +PUB [/duckbot12/image_mono/compressedDepth] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,266: +SERVICE [/duckbot12/image_mono/compressedDepth/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,274: +PUB [/duckbot12/image_mono/compressedDepth/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,292: +PUB [/duckbot12/image_mono/compressedDepth/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,334: +PARAM [/duckbot12/image_mono/compressedDepth/depth_max] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,355: +PARAM [/duckbot12/image_mono/compressedDepth/depth_quantization] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,376: +PARAM [/duckbot12/image_mono/compressedDepth/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,390: +PARAM [/duckbot12/image_mono/compressedDepth/depth_max] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,400: +PARAM [/duckbot12/image_mono/compressedDepth/depth_quantization] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,410: +PARAM [/duckbot12/image_mono/compressedDepth/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,472: +PUB [/duckbot12/image_mono/compressed] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,497: +SERVICE [/duckbot12/image_mono/compressed/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,512: +PUB [/duckbot12/image_mono/compressed/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,542: +PUB [/duckbot12/image_mono/compressed/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,597: +PARAM [/duckbot12/image_mono/compressed/format] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,604: +PARAM [/duckbot12/image_mono/compressed/jpeg_quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,630: +PARAM [/duckbot12/image_mono/compressed/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,640: +PARAM [/duckbot12/image_mono/compressed/format] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,663: +PARAM [/duckbot12/image_mono/compressed/jpeg_quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,676: +PARAM [/duckbot12/image_mono/compressed/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,716: +PUB [/duckbot12/image_mono] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,797: +PUB [/duckbot12/image_mono/theora] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,806: +SERVICE [/duckbot12/image_mono/theora/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,821: +PUB [/duckbot12/image_mono/theora/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,845: +PUB [/duckbot12/image_mono/theora/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:55,911: +PARAM [/duckbot12/image_mono/theora/optimize_for] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,943: +PARAM [/duckbot12/image_mono/theora/target_bitrate] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,954: +PARAM [/duckbot12/image_mono/theora/quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,968: +PARAM [/duckbot12/image_mono/theora/keyframe_frequency] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,988: +PARAM [/duckbot12/image_mono/theora/optimize_for] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:55,998: +PARAM [/duckbot12/image_mono/theora/target_bitrate] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,019: +PARAM [/duckbot12/image_mono/theora/quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,035: +PARAM [/duckbot12/image_mono/theora/keyframe_frequency] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,065: +PUB [/duckbot12/image_color/compressedDepth] /duckbot12/image_proc_node http://duckbot12:34511/
