

1539742980.848909156  Node Startup
1539742982.990164336 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.090345898 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.190275748 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.290269721 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.390271871 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.490268604 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.590270442 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.690273478 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.790269378 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.890280904 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742983.990270605 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.090265918 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.190274764 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.290271682 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.390183901 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.490201759 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.590181383 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
1539742984.690181321 WARN [/home/ubuntu/Knight_car/catkin_ws/src/mapir-ros-pkgs/src/rf2o_laser_odometry/src/CLaserOdometry2D.cpp:1059(main) [topics: /rosout, /tf, /rf2o_laser_odometry/odom] Waiting for laser_scans....
