[rosmaster.main][INFO] 2018-10-14 10:29:44,923: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-10-14 10:29:44,924: Starting ROS Master Node
[xmlrpc][INFO] 2018-10-14 10:29:44,927: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-10-14 10:29:44,928: Started XML-RPC server [http://knightcar.local:11311/]
[rosmaster.master][INFO] 2018-10-14 10:29:44,929: Master initialized: port[11311], uri[http://knightcar.local:11311/]
[xmlrpc][INFO] 2018-10-14 10:29:44,929: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-10-14 10:29:45,024: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:29:45,030: +PARAM [/roslaunch/uris/host_knightcar_local__33678] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:29:45,516: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:29:45,517: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:29:45,731: +SERVICE [/rosout/get_loggers] /rosout http://knightcar.local:35037/
[rosmaster.master][INFO] 2018-10-14 10:29:45,735: +SERVICE [/rosout/set_logger_level] /rosout http://knightcar.local:35037/
[rosmaster.master][INFO] 2018-10-14 10:29:45,742: +PUB [/rosout_agg] /rosout http://knightcar.local:35037/
[rosmaster.master][INFO] 2018-10-14 10:29:45,761: +SUB [/rosout] /rosout http://knightcar.local:35037/
[rosmaster.master][INFO] 2018-10-14 10:30:12,772: +PARAM [/roslaunch/uris/host_knightcar_local__43079] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,968: +PARAM [/knightcar/logic_gate_node/events/intersection_done/trigger] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,969: +PARAM [/knightcar/fsm_node/states/INTERSECTION_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,969: +PARAM [/knightcar/fsm_node/global_transitions/parallel_autonomy_on] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,970: +PARAM [/knightcar/fsm_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,970: +PARAM [/knightcar/fsm_node/states/COORDINATION/lights] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,971: +PARAM [/knightcar/car_cmd_switch_node/source_topics/vehicle] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,971: +PARAM [/knightcar/fsm_node/states/LANE_FOLLOWING_AVOID/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,972: +PARAM [/knightcar/lane_filter_node/sigma_phi_mask] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,972: +PARAM [/knightcar/car_cmd_switch_node/mode_topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,973: +PARAM [/knightcar/fsm_node/events/parallel_autonomy_on/trigger] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,973: +PARAM [/knightcar/logic_gate_node/gates/intersection_done_and_parallel_autonomy_on/inputs] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,974: +PARAM [/knightcar/fsm_node/events/intersection_done/trigger] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,974: +PARAM [/knightcar/logic_gate_node/events/parallel_autonomy_off/trigger] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,975: +PARAM [/knightcar/lane_controller_node/k_theta] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,975: +PARAM [/knightcar/fsm_node/events/joystick_override_on/topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,975: +PARAM [/knightcar/line_detector_node/img_size] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,976: +PARAM [/knightcar/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/inputs] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,976: +PARAM [/knightcar/lane_filter_node/use_min_segs] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,977: +PARAM [/knightcar/camera_node/framerate_low] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,977: +PARAM [/knightcar/fsm_node/events/at_stop_line/msg_type] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,978: +PARAM [/knightcar/fsm_node/states/LANE_FOLLOWING/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,978: +PARAM [/enable_statistics] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,979: +PARAM [/knightcar/joy_mapper_node/simulated_vehicle_length] by /roslaunch
[rosmaster.master][INFO] 2018-10-14 10:30:12,979: +PARAM [/knightcar/ground_projection/config_file_name] by /roslaunch
