[rosmaster.main][INFO] 2018-10-05 20:47:40,233: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-10-05 20:47:40,234: Starting ROS Master Node
[xmlrpc][INFO] 2018-10-05 20:47:40,239: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-10-05 20:47:40,241: Started XML-RPC server [http://duckbot12:11311/]
[rosmaster.master][INFO] 2018-10-05 20:47:40,242: Master initialized: port[11311], uri[http://duckbot12:11311/]
[xmlrpc][INFO] 2018-10-05 20:47:40,243: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-10-05 20:47:40,361: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 20:47:40,372: +PARAM [/roslaunch/uris/host_duckbot12__40562] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 20:47:41,509: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 20:47:41,510: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 20:47:41,893: +SERVICE [/rosout/get_loggers] /rosout http://duckbot12:34295/
[rosmaster.master][INFO] 2018-10-05 20:47:41,899: +SERVICE [/rosout/set_logger_level] /rosout http://duckbot12:34295/
[rosmaster.master][INFO] 2018-10-05 20:47:41,911: +PUB [/rosout_agg] /rosout http://duckbot12:34295/
[rosmaster.master][INFO] 2018-10-05 20:47:41,940: +SUB [/rosout] /rosout http://duckbot12:34295/
[rosmaster.master][INFO] 2018-10-05 21:02:57,331: +PARAM [/roslaunch/uris/host_duckbot12__46349] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,897: +PARAM [/duckbot12/fsm_node/states/SAFE_JOYSTICK_CONTROL/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,898: +PARAM [/duckbot12/car_cmd_switch_node/source_topics/recovery] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,899: +PARAM [/duckbot12/fsm_node/events/at_stop_line/trigger] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,900: +PARAM [/duckbot12/fsm_node/events/apriltag_intersection/msg_type] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,901: +PARAM [/duckbot12/logic_gate_node/gates/intersection_go/output_topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,902: +PARAM [/duckbot12/fsm_node/events/apriltag_intersection/topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,903: +PARAM [/duckbot12/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_C/color] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,904: +PARAM [/duckbot12/logic_gate_node/events/deep_lane_following_off/topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,905: +PARAM [/duckbot12/fsm_node/nodes/parking_path_planning] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,906: +PARAM [/duckbot12/fsm_node/nodes/parking_control] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,907: +PARAM [/duckbot12/fsm_node/events/joystick_override_on_and_parallel_autonomy_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,908: +PARAM [/duckbot12/car_cmd_switch_node/mode_topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,909: +PARAM [/duckbot12/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_C/frequency] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,910: +PARAM [/duckbot12/fsm_node/states/NORMAL_JOYSTICK_CONTROL/transitions/joystick_override_off_and_deep_lane_on] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,911: +PARAM [/duckbot12/logic_gate_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2018-10-05 21:02:57,912: +PARAM [/duckbot12/logic_gate_node/gates/intersection_go/gate_type] by /roslaunch
