[rosmaster.main][INFO] 2018-11-27 07:42:32,405: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-11-27 07:42:32,405: Starting ROS Master Node
[xmlrpc][INFO] 2018-11-27 07:42:32,406: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2018-11-27 07:42:32,406: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2018-11-27 07:42:32,406: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2018-11-27 07:42:32,406: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-11-27 07:42:32,460: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-11-27 07:42:32,461: +PARAM [/roslaunch/uris/host_localhost__45935] by /roslaunch
[rosmaster.master][INFO] 2018-11-27 07:42:32,598: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-11-27 07:42:32,598: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-11-27 07:42:33,121: +SERVICE [/rosout/get_loggers] /rosout http://localhost:35501/
[rosmaster.master][INFO] 2018-11-27 07:42:33,122: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:35501/
[rosmaster.master][INFO] 2018-11-27 07:42:33,123: +PUB [/rosout_agg] /rosout http://localhost:35501/
[rosmaster.master][INFO] 2018-11-27 07:42:33,128: +SUB [/rosout] /rosout http://localhost:35501/
[rosmaster.master][INFO] 2018-11-27 07:42:34,410: +PUB [/rosout] /moveit_setup_assistant http://localhost:39591/
[rosmaster.master][INFO] 2018-11-27 07:42:34,411: +SERVICE [/moveit_setup_assistant/get_loggers] /moveit_setup_assistant http://localhost:39591/
[rosmaster.master][INFO] 2018-11-27 07:42:34,411: +SERVICE [/moveit_setup_assistant/set_logger_level] /moveit_setup_assistant http://localhost:39591/
[rosmaster.master][INFO] 2018-11-27 07:42:34,509: publisherUpdate[/rosout] -> http://localhost:35501/ ['http://localhost:39591/']
[rosmaster.master][INFO] 2018-11-27 07:42:34,510: publisherUpdate[/rosout] -> http://localhost:35501/ ['http://localhost:39591/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-11-27 07:51:15,384: +PARAM [/robot_description] by /moveit_setup_assistant
[rosmaster.master][INFO] 2018-11-27 07:51:15,390: +PARAM [/robot_description_semantic] by /moveit_setup_assistant
