

1540289991.399539698  Node Startup
1540290056.589996099 INFO [serial_node.py:86(<module>) [topics: /rosout] Connecting to /dev/ttyACM0 at 115200 baud
1540290058.735196113 INFO [SerialClient.py:520(setPublishSize) [topics: /diagnostics, /rosout, /sensor_state] Note: publish buffer size is 1024 bytes
1540290058.736701011 INFO [SerialClient.py:536(setupPublisher) [topics: /diagnostics, /rosout, /sensor_state] Setup publisher on sensor_state [turtlebot3_msgs/SensorState]
1540290058.745268106 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on firmware_version [turtlebot3_msgs/VersionInfo]
1540290058.844871044 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /diagnostics, /imu, /rosout, /sensor_state] Setup publisher on imu [sensor_msgs/Imu]
1540290058.859869956 INFO [SerialClient.py:536(setupPublisher) [topics: /cmd_vel_rc100, /imu, /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on cmd_vel_rc100 [geometry_msgs/Twist]
1540290058.933235883 INFO [SerialClient.py:536(setupPublisher) [topics: /cmd_vel_rc100, /imu, /odom, /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on odom [nav_msgs/Odometry]
1540290058.948014974 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state] Setup publisher on joint_states [sensor_msgs/JointState]
1540290058.961736917 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state] Setup publisher on battery_state [sensor_msgs/BatteryState]
1540290058.975910902 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state, /magnetic_field] Setup publisher on magnetic_field [sensor_msgs/MagneticField]
1540290063.160675048 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state, /magnetic_field] Setup publisher on /tf [tf/tfMessage]
1540290063.173464059 INFO [SerialClient.py:525(setSubscribeSize) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Note: subscribe buffer size is 1024 bytes
1540290063.175074100 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on cmd_vel [geometry_msgs/Twist]
1540290063.188091993 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on sound [turtlebot3_msgs/Sound]
1540290063.200354099 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on motor_power [std_msgs/Bool]
1540290063.213040113 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on reset [std_msgs/Empty]
1540290063.223735094 WARN [SerialClient.py:689(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Failed to get param: timeout expired
1540290063.226948022 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on Odometry [odom]
1540290063.229912996 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on IMU [imu_link]
1540290063.232867002 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on MagneticField [mag_link]
1540290063.235749959 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on JointState [base_link]
1540290063.242393016 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] --------------------------
1540290063.245315074 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Connected to OpenCR board!
1540290063.248267889 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] This core(v1.2.3) is compatible with TB3 Burger
1540290063.251192092 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] --------------------------
1540290063.254254102 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Start Calibration of Gyro
1540290065.346985101 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Calibration End
1540290979.914813995 WARN [tcpros_base.py:351(_tcp_server_callback) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.
1540290987.471471071 WARN [tcpros_base.py:351(_tcp_server_callback) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.
